ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
5513	18	1	1	0.000000	1.277778	1.277778	0.000000	0.000000	0	2	0
5514	49	1	1	0.000000	1.102041	1.102041	0.000000	0.000000	0	1	0
5515	11	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
5516	21	1	1	0.000000	1.619048	1.619048	0.000000	0.000000	0	2	0
5517	1	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5518	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5519	34	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5520	1	2	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	5	0
5521	72	0	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5522	5	2	1	0.000000	4.800000	4.800000	0.000000	0.000000	0	4	0
5523	9	1	1	0.000000	2.222222	2.222222	0.000000	0.000000	0	3	0
5524	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5525	35	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5526	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5527	8	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5528	13	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
5529	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5530	37	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5531	81	1	2	0.000000	1.012346	1.012346	0.000000	0.000000	0	2	0
5532	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5533	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5534	51	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5535	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5536	1	1	1	0.000000	5.000000	5.000000	0.000000	0.000000	0	5	0
5537	3	1	2	0.000000	361.000000	2.000000	0.000000	0.000000	0	191	0
5538	35	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5539	1	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
5540	2	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5541	1	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
5542	1	2	6	0.000000	61.000000	3.000000	0.000000	0.000000	0	59	0
5543	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5544	1	1	1	0.000000	4.000000	3.000000	0.000000	0.000000	0	3	0
5545	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5546	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5547	26	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5548	1	1	2	0.000000	12.000000	12.000000	0.000000	0.000000	0	12	0
5549	1	2	3	0.000000	13.000000	13.000000	0.000000	0.000000	0	13	0
5550	1	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
5551	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5552	47	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5553	18	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
5554	26	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	1	0
5555	1	1	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
5556	1	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	5	0
5557	17	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	2	0
5558	1	1	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	4	0
5559	11	1	2	0.000000	8.000000	8.000000	0.000000	0.000000	0	8	0
5560	1	2	2	0.000000	11.000000	11.000000	0.000000	0.000000	0	11	0
5561	1	1	2	0.000000	11.000000	11.000000	0.000000	0.000000	0	11	0
